correct,skill,student,problem,skill_name
1,5,3,5,5
0,6,3,6,6
1,7,3,7,7
1,8,3,8,8
1,9,3,9,9
1,10,3,10,10
1,11,3,11,11
0,12,3,12,12
0,13,3,13,13
1,14,3,14,14
1,15,3,15,15
1,16,3,16,16
1,17,3,17,17
1,18,3,18,18
1,19,3,19,19
1,20,3,20,20
1,21,3,21,21
1,22,3,22,22
1,23,3,23,23
1,24,3,24,24
1,25,3,25,25
1,26,3,26,26
1,27,3,27,27
1,28,3,28,28
1,29,3,29,29
0,30,3,30,30
1,31,3,31,31
0,32,3,32,32
1,33,3,33,33
1,34,3,34,34
0,35,3,35,35
1,36,3,36,36
0,37,3,37,37
1,38,3,38,38
1,39,3,39,39
1,40,3,40,40
1,41,3,41,41
1,42,3,42,42
1,43,3,43,43
1,44,3,44,44
1,45,3,45,45
0,46,3,46,46
1,47,3,47,47
1,48,3,48,48
1,49,3,49,49
0,0,4,0,0
1,1,4,1,1
1,2,4,2,2
0,3,4,3,3
0,4,4,4,4
0,5,4,5,5
1,6,4,6,6
1,7,4,7,7
1,8,4,8,8
0,9,4,9,9
0,10,4,10,10
1,11,4,11,11
1,12,4,12,12
0,13,4,13,13
0,14,4,14,14
1,15,4,15,15
0,16,4,16,16
0,17,4,17,17
1,18,4,18,18
0,19,4,19,19
0,20,4,20,20
0,21,4,21,21
1,22,4,22,22
1,23,4,23,23
1,24,4,24,24
1,25,4,25,25
0,26,4,26,26
0,27,4,27,27
1,28,4,28,28
0,29,4,29,29
1,30,4,30,30
0,31,4,31,31
0,32,4,32,32
1,33,4,33,33
0,34,4,34,34
0,35,4,35,35
1,36,4,36,36
0,37,4,37,37
0,38,4,38,38
0,39,4,39,39
0,40,4,40,40
0,41,4,41,41
1,42,4,42,42
1,43,4,43,43
0,44,4,44,44
0,45,4,45,45
1,46,4,46,46
1,47,4,47,47
1,48,4,48,48
0,49,4,49,49
0,0,5,0,0
1,1,5,1,1
1,2,5,2,2
0,3,5,3,3
0,4,5,4,4
1,5,5,5,5
0,6,5,6,6
0,7,5,7,7
0,8,5,8,8
0,9,5,9,9
0,10,5,10,10
1,11,5,11,11
1,12,5,12,12
0,13,5,13,13
0,14,5,14,14
1,15,5,15,15
0,16,5,16,16
1,17,5,17,17
1,18,5,18,18
1,19,5,19,19
1,20,5,20,20
1,21,5,21,21
1,22,5,22,22
0,23,5,23,23
1,24,5,24,24
1,25,5,25,25
1,26,5,26,26
1,27,5,27,27
1,28,5,28,28
1,29,5,29,29
0,30,5,30,30
0,31,5,31,31
1,32,5,32,32
0,33,5,33,33
1,34,5,34,34
0,35,5,35,35
1,36,5,36,36
0,37,5,37,37
1,38,5,38,38
1,39,5,39,39
1,40,5,40,40
1,41,5,41,41
1,42,5,42,42
1,43,5,43,43
1,44,5,44,44
0,45,5,45,45
1,46,5,46,46
1,47,5,47,47
1,48,5,48,48
1,49,5,49,49
1,0,6,0,0
1,1,6,1,1
1,2,6,2,2
0,3,6,3,3
1,4,6,4,4
0,5,6,5,5
1,6,6,6,6
0,7,6,7,7
1,8,6,8,8
0,9,6,9,9
0,10,6,10,10
1,11,6,11,11
1,12,6,12,12
1,13,6,13,13
0,14,6,14,14
1,15,6,15,15
0,16,6,16,16
1,17,6,17,17
0,18,6,18,18
0,19,6,19,19
0,20,6,20,20
0,21,6,21,21
0,22,6,22,22
0,23,6,23,23
1,24,6,24,24
1,25,6,25,25
0,26,6,26,26
0,27,6,27,27
1,28,6,28,28
0,29,6,29,29
1,30,6,30,30
0,31,6,31,31
1,32,6,32,32
1,33,6,33,33
0,34,6,34,34
1,35,6,35,35
0,36,6,36,36
1,37,6,37,37
1,38,6,38,38
0,39,6,39,39
1,40,6,40,40
0,41,6,41,41
1,42,6,42,42
1,43,6,43,43
0,44,6,44,44
0,45,6,45,45
1,46,6,46,46
1,47,6,47,47
0,48,6,48,48
0,49,6,49,49
0,0,7,0,0
0,1,7,1,1
0,2,7,2,2
1,3,7,3,3
1,4,7,4,4
1,5,7,5,5
1,6,7,6,6
1,7,7,7,7
1,8,7,8,8
0,9,7,9,9
1,10,7,10,10
0,11,7,11,11
0,12,7,12,12
0,13,7,13,13
1,14,7,14,14
1,15,7,15,15
1,16,7,16,16
1,17,7,17,17
1,18,7,18,18
1,19,7,19,19
1,20,7,20,20
1,21,7,21,21
1,22,7,22,22
1,23,7,23,23
1,24,7,24,24
1,25,7,25,25
1,26,7,26,26
1,27,7,27,27
1,28,7,28,28
1,29,7,29,29
0,30,7,30,30
1,31,7,31,31
0,32,7,32,32
0,33,7,33,33
1,34,7,34,34
0,35,7,35,35
1,36,7,36,36
0,37,7,37,37
1,38,7,38,38
1,39,7,39,39
1,40,7,40,40
1,41,7,41,41
1,42,7,42,42
1,43,7,43,43
1,44,7,44,44
1,45,7,45,45
0,46,7,46,46
0,47,7,47,47
1,48,7,48,48
1,49,7,49,49
1,0,8,0,0
1,1,8,1,1
1,2,8,2,2
0,3,8,3,3
1,4,8,4,4
1,5,8,5,5
1,6,8,6,6
1,7,8,7,7
1,8,8,8,8
1,9,8,9,9
1,10,8,10,10
1,11,8,11,11
1,12,8,12,12
0,13,8,13,13
1,14,8,14,14
1,15,8,15,15
1,16,8,16,16
1,17,8,17,17
1,18,8,18,18
1,19,8,19,19
1,20,8,20,20
1,21,8,21,21
1,22,8,22,22
1,23,8,23,23
1,24,8,24,24
1,25,8,25,25
1,26,8,26,26
1,27,8,27,27
1,28,8,28,28
1,29,8,29,29
1,30,8,30,30
1,31,8,31,31
0,32,8,32,32
1,33,8,33,33
1,34,8,34,34
1,35,8,35,35
1,36,8,36,36
1,37,8,37,37
1,38,8,38,38
1,39,8,39,39
1,40,8,40,40
1,41,8,41,41
1,42,8,42,42
1,43,8,43,43
1,44,8,44,44
1,45,8,45,45
1,46,8,46,46
1,47,8,47,47
1,48,8,48,48
1,49,8,49,49
0,0,9,0,0
1,1,9,1,1
1,2,9,2,2
1,3,9,3,3
1,4,9,4,4
1,5,9,5,5
0,6,9,6,6
1,7,9,7,7
1,8,9,8,8
1,9,9,9,9
1,10,9,10,10
0,11,9,11,11
0,12,9,12,12
0,13,9,13,13
1,14,9,14,14
1,15,9,15,15
1,16,9,16,16
1,17,9,17,17
1,18,9,18,18
1,19,9,19,19
1,20,9,20,20
1,21,9,21,21
1,22,9,22,22
1,23,9,23,23
0,24,9,24,24
1,25,9,25,25
1,26,9,26,26
1,27,9,27,27
1,28,9,28,28
1,29,9,29,29
1,30,9,30,30
1,31,9,31,31
0,32,9,32,32
1,33,9,33,33
1,34,9,34,34
1,35,9,35,35
1,36,9,36,36
1,37,9,37,37
1,38,9,38,38
1,39,9,39,39
1,40,9,40,40
1,41,9,41,41
1,42,9,42,42
1,43,9,43,43
1,44,9,44,44
1,45,9,45,45
1,46,9,46,46
1,47,9,47,47
1,48,9,48,48
1,49,9,49,49
0,0,10,0,0
1,1,10,1,1
1,2,10,2,2
0,3,10,3,3
0,4,10,4,4
0,5,10,5,5
0,6,10,6,6
0,7,10,7,7
0,8,10,8,8
1,9,10,9,9
0,10,10,10,10
1,11,10,11,11
0,12,10,12,12
0,13,10,13,13
0,14,10,14,14
1,15,10,15,15
1,16,10,16,16
0,17,10,17,17
0,18,10,18,18
0,19,10,19,19
1,20,10,20,20
0,21,10,21,21
0,22,10,22,22
0,23,10,23,23
1,24,10,24,24
0,25,10,25,25
0,26,10,26,26
0,27,10,27,27
1,28,10,28,28
0,29,10,29,29
1,30,10,30,30
1,31,10,31,31
0,32,10,32,32
1,33,10,33,33
0,34,10,34,34
0,35,10,35,35
0,36,10,36,36
1,37,10,37,37
0,38,10,38,38
1,39,10,39,39
0,40,10,40,40
0,41,10,41,41
0,42,10,42,42
1,43,10,43,43
0,44,10,44,44
0,45,10,45,45
1,46,10,46,46
1,47,10,47,47
0,48,10,48,48
1,49,10,49,49
1,0,11,0,0
1,1,11,1,1
0,2,11,2,2
1,3,11,3,3
1,4,11,4,4
1,5,11,5,5
0,6,11,6,6
1,7,11,7,7
0,8,11,8,8
0,9,11,9,9
0,10,11,10,10
0,11,11,11,11
1,12,11,12,12
0,13,11,13,13
1,14,11,14,14
0,15,11,15,15
0,16,11,16,16
1,17,11,17,17
1,18,11,18,18
1,19,11,19,19
1,20,11,20,20
1,21,11,21,21
1,22,11,22,22
1,23,11,23,23
0,24,11,24,24
1,25,11,25,25
1,26,11,26,26
1,27,11,27,27
0,28,11,28,28
1,29,11,29,29
0,30,11,30,30
1,31,11,31,31
0,32,11,32,32
1,33,11,33,33
1,34,11,34,34
0,35,11,35,35
1,36,11,36,36
0,37,11,37,37
1,38,11,38,38
1,39,11,39,39
1,40,11,40,40
1,41,11,41,41
0,42,11,42,42
1,43,11,43,43
1,44,11,44,44
1,45,11,45,45
0,46,11,46,46
1,47,11,47,47
1,48,11,48,48
1,49,11,49,49
1,0,12,0,0
1,1,12,1,1
1,2,12,2,2
0,3,12,3,3
0,4,12,4,4
1,5,12,5,5
1,6,12,6,6
0,7,12,7,7
1,8,12,8,8
1,9,12,9,9
0,10,12,10,10
1,11,12,11,11
1,12,12,12,12
1,13,12,13,13
1,14,12,14,14
1,15,12,15,15
0,16,12,16,16
0,17,12,17,17
1,18,12,18,18
1,19,12,19,19
1,20,12,20,20
1,21,12,21,21
1,22,12,22,22
1,23,12,23,23
1,24,12,24,24
1,25,12,25,25
0,26,12,26,26
1,27,12,27,27
1,28,12,28,28
1,29,12,29,29
1,30,12,30,30
1,31,12,31,31
1,32,12,32,32
1,33,12,33,33
1,34,12,34,34
1,35,12,35,35
0,36,12,36,36
1,37,12,37,37
1,38,12,38,38
1,39,12,39,39
1,40,12,40,40
1,41,12,41,41
1,42,12,42,42
1,43,12,43,43
1,44,12,44,44
1,45,12,45,45
1,46,12,46,46
1,47,12,47,47
1,48,12,48,48
1,49,12,49,49
0,0,13,0,0
1,1,13,1,1
0,2,13,2,2
0,3,13,3,3
0,4,13,4,4
0,5,13,5,5
0,6,13,6,6
0,7,13,7,7
0,8,13,8,8
1,9,13,9,9
1,10,13,10,10
0,11,13,11,11
0,12,13,12,12
0,13,13,13,13
0,14,13,14,14
0,15,13,15,15
0,16,13,16,16
0,17,13,17,17
0,18,13,18,18
0,19,13,19,19
0,20,13,20,20
0,21,13,21,21
0,22,13,22,22
0,23,13,23,23
1,24,13,24,24
0,25,13,25,25
1,26,13,26,26
0,27,13,27,27
1,28,13,28,28
0,29,13,29,29
1,30,13,30,30
0,31,13,31,31
0,32,13,32,32
0,33,13,33,33
1,34,13,34,34
1,35,13,35,35
1,36,13,36,36
1,37,13,37,37
0,38,13,38,38
0,39,13,39,39
1,40,13,40,40
0,41,13,41,41
1,42,13,42,42
1,43,13,43,43
0,44,13,44,44
1,45,13,45,45
1,46,13,46,46
1,47,13,47,47
1,48,13,48,48
0,49,13,49,49
1,0,14,0,0
1,1,14,1,1
1,2,14,2,2
0,3,14,3,3
0,4,14,4,4
0,5,14,5,5
1,6,14,6,6
0,7,14,7,7
0,8,14,8,8
1,9,14,9,9
1,10,14,10,10
1,11,14,11,11
0,12,14,12,12
0,13,14,13,13
1,14,14,14,14
1,15,14,15,15
0,16,14,16,16
0,17,14,17,17
1,18,14,18,18
1,19,14,19,19
0,20,14,20,20
0,21,14,21,21
0,22,14,22,22
0,23,14,23,23
1,24,14,24,24
1,25,14,25,25
0,26,14,26,26
1,27,14,27,27
0,28,14,28,28
0,29,14,29,29
0,30,14,30,30
1,31,14,31,31
1,32,14,32,32
1,33,14,33,33
1,34,14,34,34
1,35,14,35,35
0,36,14,36,36
0,37,14,37,37
1,38,14,38,38
0,39,14,39,39
0,40,14,40,40
1,41,14,41,41
1,42,14,42,42
0,43,14,43,43
0,44,14,44,44
1,45,14,45,45
1,46,14,46,46
1,47,14,47,47
0,48,14,48,48
0,49,14,49,49
1,0,15,0,0
1,1,15,1,1
1,2,15,2,2
0,3,15,3,3
0,4,15,4,4
0,5,15,5,5
1,6,15,6,6
0,7,15,7,7
1,8,15,8,8
1,9,15,9,9
1,10,15,10,10
1,11,15,11,11
1,12,15,12,12
1,13,15,13,13
0,14,15,14,14
1,15,15,15,15
0,16,15,16,16
0,17,15,17,17
0,18,15,18,18
1,19,15,19,19
0,20,15,20,20
0,21,15,21,21
0,22,15,22,22
0,23,15,23,23
1,24,15,24,24
0,25,15,25,25
0,26,15,26,26
1,27,15,27,27
1,28,15,28,28
0,29,15,29,29
1,30,15,30,30
1,31,15,31,31
1,32,15,32,32
1,33,15,33,33
0,34,15,34,34
0,35,15,35,35
0,36,15,36,36
1,37,15,37,37
0,38,15,38,38
0,39,15,39,39
0,40,15,40,40
0,41,15,41,41
1,42,15,42,42
1,43,15,43,43
0,44,15,44,44
0,45,15,45,45
1,46,15,46,46
1,47,15,47,47
0,48,15,48,48
1,49,15,49,49
0,0,16,0,0
1,1,16,1,1
0,2,16,2,2
1,3,16,3,3
0,4,16,4,4
1,5,16,5,5
0,6,16,6,6
1,7,16,7,7
1,8,16,8,8
1,9,16,9,9
0,10,16,10,10
1,11,16,11,11
1,12,16,12,12
1,13,16,13,13
1,14,16,14,14
0,15,16,15,15
1,16,16,16,16
1,17,16,17,17
1,18,16,18,18
1,19,16,19,19
1,20,16,20,20
1,21,16,21,21
1,22,16,22,22
1,23,16,23,23
1,24,16,24,24
1,25,16,25,25
1,26,16,26,26
1,27,16,27,27
1,28,16,28,28
1,29,16,29,29
1,30,16,30,30
1,31,16,31,31
1,32,16,32,32
1,33,16,33,33
1,34,16,34,34
1,35,16,35,35
1,36,16,36,36
0,37,16,37,37
1,38,16,38,38
1,39,16,39,39
1,40,16,40,40
1,41,16,41,41
1,42,16,42,42
1,43,16,43,43
1,44,16,44,44
1,45,16,45,45
1,46,16,46,46
1,47,16,47,47
1,48,16,48,48
1,49,16,49,49
0,0,17,0,0
1,1,17,1,1
0,2,17,2,2
1,3,17,3,3
0,4,17,4,4
1,5,17,5,5
0,6,17,6,6
1,7,17,7,7
1,8,17,8,8
1,9,17,9,9
0,10,17,10,10
0,11,17,11,11
0,12,17,12,12
0,13,17,13,13
1,14,17,14,14
0,15,17,15,15
1,16,17,16,16
1,17,17,17,17
1,18,17,18,18
1,19,17,19,19
1,20,17,20,20
1,21,17,21,21
1,22,17,22,22
1,23,17,23,23
0,24,17,24,24
1,25,17,25,25
0,26,17,26,26
1,27,17,27,27
0,28,17,28,28
1,29,17,29,29
0,30,17,30,30
1,31,17,31,31
0,32,17,32,32
0,33,17,33,33
1,34,17,34,34
0,35,17,35,35
1,36,17,36,36
0,37,17,37,37
1,38,17,38,38
1,39,17,39,39
0,40,17,40,40
1,41,17,41,41
0,42,17,42,42
1,43,17,43,43
1,44,17,44,44
1,45,17,45,45
0,46,17,46,46
0,47,17,47,47
1,48,17,48,48
1,49,17,49,49
0,0,18,0,0
0,1,18,1,1
0,2,18,2,2
0,3,18,3,3
0,4,18,4,4
0,5,18,5,5
0,6,18,6,6
1,7,18,7,7
0,8,18,8,8
0,9,18,9,9
0,10,18,10,10
0,11,18,11,11
0,12,18,12,12
0,13,18,13,13
1,14,18,14,14
1,15,18,15,15
1,16,18,16,16
0,17,18,17,17
0,18,18,18,18
0,19,18,19,19
0,20,18,20,20
1,21,18,21,21
1,22,18,22,22
1,23,18,23,23
0,24,18,24,24
1,25,18,25,25
0,26,18,26,26
1,27,18,27,27
1,28,18,28,28
1,29,18,29,29
0,30,18,30,30
1,31,18,31,31
0,32,18,32,32
0,33,18,33,33
1,34,18,34,34
0,35,18,35,35
1,36,18,36,36
0,37,18,37,37
0,38,18,38,38
1,39,18,39,39
1,40,18,40,40
0,41,18,41,41
0,42,18,42,42
1,43,18,43,43
1,44,18,44,44
1,45,18,45,45
1,46,18,46,46
0,47,18,47,47
1,48,18,48,48
1,49,18,49,49
0,0,19,0,0
1,1,19,1,1
0,2,19,2,2
0,3,19,3,3
0,4,19,4,4
0,5,19,5,5
0,6,19,6,6
1,7,19,7,7
1,8,19,8,8
1,9,19,9,9
0,10,19,10,10
1,11,19,11,11
0,12,19,12,12
0,13,19,13,13
1,14,19,14,14
0,15,19,15,15
0,16,19,16,16
0,17,19,17,17
0,18,19,18,18
1,19,19,19,19
1,20,19,20,20
0,21,19,21,21
0,22,19,22,22
0,23,19,23,23
1,24,19,24,24
1,25,19,25,25
0,26,19,26,26
1,27,19,27,27
0,28,19,28,28
1,29,19,29,29
1,30,19,30,30
0,31,19,31,31
0,32,19,32,32
1,33,19,33,33
1,34,19,34,34
0,35,19,35,35
1,36,19,36,36
1,37,19,37,37
0,38,19,38,38
0,39,19,39,39
1,40,19,40,40
1,41,19,41,41
0,42,19,42,42
1,43,19,43,43
0,44,19,44,44
0,45,19,45,45
1,46,19,46,46
1,47,19,47,47
0,48,19,48,48
0,49,19,49,49
0,0,20,0,0
0,1,20,1,1
0,2,20,2,2
0,3,20,3,3
0,4,20,4,4
0,5,20,5,5
0,6,20,6,6
0,7,20,7,7
0,8,20,8,8
0,9,20,9,9
0,10,20,10,10
1,11,20,11,11
0,12,20,12,12
0,13,20,13,13
0,14,20,14,14
1,15,20,15,15
0,16,20,16,16
1,17,20,17,17
0,18,20,18,18
0,19,20,19,19
0,20,20,20,20
0,21,20,21,21
0,22,20,22,22
0,23,20,23,23
1,24,20,24,24
1,25,20,25,25
0,26,20,26,26
0,27,20,27,27
0,28,20,28,28
0,29,20,29,29
0,30,20,30,30
0,31,20,31,31
0,32,20,32,32
0,33,20,33,33
0,34,20,34,34
0,35,20,35,35
0,36,20,36,36
0,37,20,37,37
1,38,20,38,38
0,39,20,39,39
0,40,20,40,40
1,41,20,41,41
0,42,20,42,42
1,43,20,43,43
1,44,20,44,44
0,45,20,45,45
0,46,20,46,46
1,47,20,47,47
0,48,20,48,48
0,49,20,49,49
0,0,21,0,0
1,1,21,1,1
1,2,21,2,2
0,3,21,3,3
0,4,21,4,4
0,5,21,5,5
1,6,21,6,6
0,7,21,7,7
0,8,21,8,8
1,9,21,9,9
0,10,21,10,10
1,11,21,11,11
0,12,21,12,12
1,13,21,13,13
1,14,21,14,14
1,15,21,15,15
1,16,21,16,16
1,17,21,17,17
1,18,21,18,18
1,19,21,19,19
1,20,21,20,20
1,21,21,21,21
0,22,21,22,22
0,23,21,23,23
1,24,21,24,24
1,25,21,25,25
1,26,21,26,26
1,27,21,27,27
1,28,21,28,28
0,29,21,29,29
1,30,21,30,30
1,31,21,31,31
0,32,21,32,32
1,33,21,33,33
1,34,21,34,34
0,35,21,35,35
1,36,21,36,36
0,37,21,37,37
1,38,21,38,38
0,39,21,39,39
1,40,21,40,40
1,41,21,41,41
1,42,21,42,42
1,43,21,43,43
1,44,21,44,44
0,45,21,45,45
1,46,21,46,46
1,47,21,47,47
1,48,21,48,48
1,49,21,49,49
1,0,22,0,0
0,1,22,1,1
1,2,22,2,2
1,3,22,3,3
0,4,22,4,4
0,5,22,5,5
0,6,22,6,6
0,7,22,7,7
1,8,22,8,8
0,9,22,9,9
0,10,22,10,10
1,11,22,11,11
0,12,22,12,12
0,13,22,13,13
1,14,22,14,14
1,15,22,15,15
0,16,22,16,16
1,17,22,17,17
1,18,22,18,18
1,19,22,19,19
1,20,22,20,20
1,21,22,21,21
1,22,22,22,22
1,23,22,23,23
1,24,22,24,24
1,25,22,25,25
1,26,22,26,26
1,27,22,27,27
0,28,22,28,28
1,29,22,29,29
0,30,22,30,30
1,31,22,31,31
0,32,22,32,32
1,33,22,33,33
1,34,22,34,34
0,35,22,35,35
1,36,22,36,36
0,37,22,37,37
1,38,22,38,38
1,39,22,39,39
0,40,22,40,40
1,41,22,41,41
1,42,22,42,42
1,43,22,43,43
1,44,22,44,44
1,45,22,45,45
0,46,22,46,46
1,47,22,47,47
1,48,22,48,48
1,49,22,49,49
0,0,23,0,0
1,1,23,1,1
0,2,23,2,2
1,3,23,3,3
1,4,23,4,4
1,5,23,5,5
0,6,23,6,6
1,7,23,7,7
1,8,23,8,8
0,9,23,9,9
0,10,23,10,10
0,11,23,11,11
0,12,23,12,12
0,13,23,13,13
1,14,23,14,14
1,15,23,15,15
1,16,23,16,16
1,17,23,17,17
1,18,23,18,18
1,19,23,19,19
1,20,23,20,20
1,21,23,21,21
1,22,23,22,22
1,23,23,23,23
0,24,23,24,24
1,25,23,25,25
0,26,23,26,26
1,27,23,27,27
0,28,23,28,28
1,29,23,29,29
0,30,23,30,30
1,31,23,31,31
0,32,23,32,32
0,33,23,33,33
1,34,23,34,34
0,35,23,35,35
1,36,23,36,36
0,37,23,37,37
1,38,23,38,38
1,39,23,39,39
1,40,23,40,40
1,41,23,41,41
1,42,23,42,42
1,43,23,43,43
1,44,23,44,44
1,45,23,45,45
1,46,23,46,46
0,47,23,47,47
1,48,23,48,48
1,49,23,49,49
0,0,24,0,0
0,1,24,1,1
0,2,24,2,2
0,3,24,3,3
0,4,24,4,4
1,5,24,5,5
0,6,24,6,6
0,7,24,7,7
1,8,24,8,8
1,9,24,9,9
0,10,24,10,10
0,11,24,11,11
0,12,24,12,12
0,13,24,13,13
0,14,24,14,14
0,15,24,15,15
0,16,24,16,16
0,17,24,17,17
1,18,24,18,18
1,19,24,19,19
1,20,24,20,20
0,21,24,21,21
1,22,24,22,22
1,23,24,23,23
0,24,24,24,24
1,25,24,25,25
1,26,24,26,26
1,27,24,27,27
0,28,24,28,28
0,29,24,29,29
0,30,24,30,30
0,31,24,31,31
0,32,24,32,32
0,33,24,33,33
1,34,24,34,34
0,35,24,35,35
1,36,24,36,36
1,37,24,37,37
1,38,24,38,38
1,39,24,39,39
1,40,24,40,40
1,41,24,41,41
0,42,24,42,42
1,43,24,43,43
1,44,24,44,44
1,45,24,45,45
0,46,24,46,46
0,47,24,47,47
1,48,24,48,48
1,49,24,49,49
0,0,25,0,0
1,1,25,1,1
0,2,25,2,2
0,3,25,3,3
1,4,25,4,4
0,5,25,5,5
0,6,25,6,6
0,7,25,7,7
0,8,25,8,8
0,9,25,9,9
0,10,25,10,10
0,11,25,11,11
0,12,25,12,12
0,13,25,13,13
1,14,25,14,14
1,15,25,15,15
0,16,25,16,16
1,17,25,17,17
1,18,25,18,18
1,19,25,19,19
1,20,25,20,20
0,21,25,21,21
1,22,25,22,22
0,23,25,23,23
0,24,25,24,24
1,25,25,25,25
1,26,25,26,26
1,27,25,27,27
0,28,25,28,28
1,29,25,29,29
0,30,25,30,30
1,31,25,31,31
1,32,25,32,32
0,33,25,33,33
1,34,25,34,34
0,35,25,35,35
1,36,25,36,36
1,37,25,37,37
1,38,25,38,38
0,39,25,39,39
1,40,25,40,40
1,41,25,41,41
1,42,25,42,42
1,43,25,43,43
1,44,25,44,44
1,45,25,45,45
1,46,25,46,46
0,47,25,47,47
1,48,25,48,48
1,49,25,49,49
0,0,26,0,0
0,1,26,1,1
0,2,26,2,2
0,3,26,3,3
0,4,26,4,4
0,5,26,5,5
0,6,26,6,6
0,7,26,7,7
1,8,26,8,8
0,9,26,9,9
0,10,26,10,10
1,11,26,11,11
0,12,26,12,12
0,13,26,13,13
0,14,26,14,14
1,15,26,15,15
0,16,26,16,16
0,17,26,17,17
1,18,26,18,18
0,19,26,19,19
1,20,26,20,20
0,21,26,21,21
0,22,26,22,22
0,23,26,23,23
0,24,26,24,24
0,25,26,25,25
0,26,26,26,26
0,27,26,27,27
0,28,26,28,28
0,29,26,29,29
0,30,26,30,30
0,31,26,31,31
0,32,26,32,32
0,33,26,33,33
0,34,26,34,34
0,35,26,35,35
0,36,26,36,36
0,37,26,37,37
0,38,26,38,38
0,39,26,39,39
0,40,26,40,40
0,41,26,41,41
1,42,26,42,42
0,43,26,43,43
0,44,26,44,44
0,45,26,45,45
0,46,26,46,46
1,47,26,47,47
0,48,26,48,48
0,49,26,49,49
0,0,27,0,0
1,1,27,1,1
0,2,27,2,2
0,3,27,3,3
0,4,27,4,4
0,5,27,5,5
0,6,27,6,6
0,7,27,7,7
0,8,27,8,8
0,9,27,9,9
0,10,27,10,10
0,11,27,11,11
0,12,27,12,12
0,13,27,13,13
1,14,27,14,14
0,15,27,15,15
1,16,27,16,16
1,17,27,17,17
0,18,27,18,18
0,19,27,19,19
1,20,27,20,20
0,21,27,21,21
0,22,27,22,22
1,23,27,23,23
1,24,27,24,24
1,25,27,25,25
0,26,27,26,26
1,27,27,27,27
0,28,27,28,28
1,29,27,29,29
0,30,27,30,30
1,31,27,31,31
0,32,27,32,32
0,33,27,33,33
0,34,27,34,34
0,35,27,35,35
1,36,27,36,36
0,37,27,37,37
0,38,27,38,38
1,39,27,39,39
0,40,27,40,40
1,41,27,41,41
0,42,27,42,42
1,43,27,43,43
1,44,27,44,44
1,45,27,45,45
