path,label,y
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 006.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 007.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 013.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 2.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Salsola/Salsola 008.jpg,salsola,10
../plant-images-dataset/seeds-microscope/Salsola/Salsola 009.jpg,salsola,10
../plant-images-dataset/seeds-microscope/Salsola/Salsola 002.jpg,salsola,10
../plant-images-dataset/seeds-microscope/Salsola/Salsola 003.jpg,salsola,10
../plant-images-dataset/seeds-microscope/Salsola/Salsola 007.jpg,salsola,10
../plant-images-dataset/seeds-microscope/Salsola/Salsola 006.jpg,salsola,10
../plant-images-dataset/seeds-microscope/Salsola/Salsola 004.jpg,salsola,10
../plant-images-dataset/seeds-microscope/Salsola/Salsola 005.jpg,salsola,10
../plant-images-dataset/seeds-microscope/Salsola/Salsola 1.jpg,salsola,10
../plant-images-dataset/seeds-microscope/Calligonum/Calligonum 006.jpg,calligonum,1
../plant-images-dataset/seeds-microscope/Calligonum/Calligonum 007.jpg,calligonum,1
../plant-images-dataset/seeds-microscope/Calligonum/Calligonum 005.jpg,calligonum,1
../plant-images-dataset/seeds-microscope/Calligonum/Calligonum 004.jpg,calligonum,1
../plant-images-dataset/seeds-microscope/Calligonum/Calligonum 003.jpg,calligonum,1
../plant-images-dataset/seeds-microscope/Calligonum/Calligonum 002.jpg,calligonum,1
../plant-images-dataset/seeds-microscope/Calligonum/Calligonum 1.jpg,calligonum,1
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 008.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 009.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 007.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 013.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 012.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 006.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 1.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 010.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 004.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 005.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 011.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 015.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 014.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 002.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Aleuropus/Aleuropus 003.jpg,aleuropus,0
../plant-images-dataset/seeds-microscope/Farsetia/Farsetia 1.jpg,farsetia,4
../plant-images-dataset/seeds-microscope/Farsetia/Farsetia 004.jpg,farsetia,4
../plant-images-dataset/seeds-microscope/Farsetia/Farsetia 005.jpg,farsetia,4
../plant-images-dataset/seeds-microscope/Farsetia/Farsetia 006.jpg,farsetia,4
../plant-images-dataset/seeds-microscope/Farsetia/Farsetia 002.jpg,farsetia,4
../plant-images-dataset/seeds-microscope/Farsetia/Farsetia 003.jpg,farsetia,4
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 005.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 011.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 010.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 012.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 006.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 007.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 013.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 002.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 014.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 009.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 008.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 4.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Cenchrus/Cenchrus 1.jpg,cenchrus,2
../plant-images-dataset/seeds-microscope/Horwoodia/Horwoodia 003.jpg,horwoodia,6
../plant-images-dataset/seeds-microscope/Horwoodia/Horwoodia 002.jpg,horwoodia,6
../plant-images-dataset/seeds-microscope/Horwoodia/Horwoodia 005.jpg,horwoodia,6
../plant-images-dataset/seeds-microscope/Horwoodia/Horwoodia 004.jpg,horwoodia,6
../plant-images-dataset/seeds-microscope/Horwoodia/Horwoodia 006.jpg,horwoodia,6
../plant-images-dataset/seeds-microscope/Horwoodia/Horwoodia 1.jpg,horwoodia,6
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 002.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 016.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 017.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 003.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 015.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 014.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 010.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 004.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 005.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 011.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 007.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 013.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 012.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 006.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 008.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 009.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 1.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 019.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Rhanterium/Rhanterium 018.jpg,rhanterium,9
../plant-images-dataset/seeds-microscope/Convolvulus/Convolvulus 5.jpg,convolvulus,3
../plant-images-dataset/seeds-microscope/Convolvulus/COnvolvulus 1.jpg,convolvulus,3
../plant-images-dataset/seeds-microscope/Convolvulus/Convolvulus 006.jpg,convolvulus,3
../plant-images-dataset/seeds-microscope/Convolvulus/Convolvulus 007.jpg,convolvulus,3
../plant-images-dataset/seeds-microscope/Convolvulus/COnvolvulus 004.jpg,convolvulus,3
../plant-images-dataset/seeds-microscope/Convolvulus/COnvolvulus 003.jpg,convolvulus,3
../plant-images-dataset/seeds-microscope/Convolvulus/COnvolvulus 002.jpg,convolvulus,3
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 015.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 014.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 016.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 002.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 003.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Halothamnus 002.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 013.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 007.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 006.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 012.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Halothamnus 003.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 004.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 010.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 011.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 005.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 1.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 008.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Haloxylon 009.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Haloxylon/Halothamnus 1.jpg,haloxylon,5
../plant-images-dataset/seeds-microscope/Tamerix/Tamerix 1.jpg,tamerix,11
../plant-images-dataset/seeds-microscope/Tamerix/Tamerix 006.jpg,tamerix,11
../plant-images-dataset/seeds-microscope/Tamerix/Tamerix 005.jpg,tamerix,11
../plant-images-dataset/seeds-microscope/Tamerix/Tamerix 004.jpg,tamerix,11
../plant-images-dataset/seeds-microscope/Tamerix/Tamerix 003.jpg,tamerix,11
../plant-images-dataset/seeds-microscope/Tamerix/Tamerix 002.jpg,tamerix,11
